date,mean_max_temp,mean_min_temp,mean_max_apparent_temp,mean_min_apparent_temp,mean_total_precipitation,mean_wind_speed
2023-04-07,12.62,9.3525,11.7,5.9,16.658333333333335,25.74266666666667
2023-04-08,18.505,11.407499999999999,16.7,10.7,1.31,19.93733333333333
2023-04-09,21.799999999999997,11.967500000000001,22.2,9.4,0.0,13.801333333333332
2023-04-10,22.005,13.57,21.2,10.7,4.933333333333334,16.01066666666667
2023-04-11,22.455,11.21,22.9,8.4,0.0,16.834666666666667
2023-04-12,24.3325,10.9825,24.4,7.9,0.0,13.910666666666666
2023-04-13,25.7775,11.815,25.7,8.9,0.0,17.144
2023-04-14,25.6625,14.4925,25.7,12.9,0.3,23.73733333333333
2023-04-15,31.052500000000002,17.885,33.2,15.7,1.8443333333333332,26.64
2023-04-16,26.145,12.565000000000001,22.2,10.8,0.0,30.924000000000003
2023-04-17,25.33,9.5975,24.4,6.5,0.0,23.661333333333335
2023-04-18,25.58,16.0175,25.7,16.2,4.585,26.49466666666667
2023-04-19,26.432499999999997,19.8175,28.1,20.7,0.9833333333333334,27.74266666666667
2023-04-20,28.19,19.5775,34.2,18.4,6.237000000000001,28.230666666666668
2023-04-21,28.08,17.825,25.7,17.2,12.584333333333333,31.147999999999996
2023-04-22,26.432499999999997,12.8475,25.7,9.4,2.5833333333333335,24.106666666666666
2023-04-23,20.695,12.685,18.9,10.7,2.612,33.626666666666665
2023-04-24,19.479999999999997,12.025,20.7,11.7,0.85,24.099999999999998
2023-04-25,23.955,16.119999999999997,23.3,16.2,4.517333333333333,17.601333333333333
2023-04-26,27.355,19.4925,31.3,20.0,8.450666666666667,21.43733333333333
2023-04-27,26.6,15.200000000000001,26.6,14.4,16.372,23.473333333333333
2023-04-28,29.162499999999998,14.3125,30.0,12.3,14.078666666666669,31.325333333333333
2023-04-29,23.2675,12.9225,23.9,11.7,16.55333333333333,39.48933333333334
2023-04-30,29.5725,11.595,28.9,9.4,0.0,25.845333333333333
2023-05-01,29.810000000000002,12.692499999999999,27.9,10.1,0.0,21.194666666666667
2023-05-02,27.3575,17.2625,26.2,15.7,0.0,18.034666666666666
2023-05-03,28.9975,16.5175,29.2,15.1,0.0,18.334666666666667
2023-05-04,28.33,18.3425,30.6,16.8,1.25,19.125333333333334
2023-05-05,31.8025,22.0025,37.7,22.9,7.504666666666666,28.139999999999997
2023-05-06,32.2275,19.744999999999997,36.6,18.9,0.03333333333333333,28.26266666666667
2023-05-07,30.724999999999998,21.825,28.9,21.7,0.34,27.328000000000003
2023-05-08,31.8025,21.6475,37.4,20.1,5.166666666666667,26.878666666666664
2023-05-09,28.12,20.28,23.9,20.0,11.965666666666666,19.170666666666666
2023-05-10,26.182499999999997,19.4875,28.3,19.3,6.590333333333334,16.592
2023-05-11,31.122500000000002,21.5375,36.6,22.2,0.9,21.592
2023-05-12,31.04,22.9975,34.0,23.9,3.5976666666666666,24.828000000000003
2023-05-13,26.0425,18.8275,24.4,18.3,57.41266666666667,25.676
2023-05-14,25.385,18.932499999999997,29.8,17.2,7.241666666666667,11.808000000000002
2023-05-15,27.445,19.34,30.9,18.4,4.668,13.777333333333333
2023-05-16,26.4775,19.77,30.0,19.4,10.023666666666665,14.044000000000002
2023-05-17,29.8275,18.585,30.5,17.2,0.06666666666666667,15.156
2023-05-18,31.39,17.955,32.8,16.7,0.0,15.834666666666665
2023-05-19,31.9875,19.7625,34.2,19.4,0.0,19.056
2023-05-20,27.4075,20.1825,28.4,20.0,3.44,26.7
2023-05-21,24.6625,19.002499999999998,23.3,18.9,1.9966666666666664,18.040000000000003
2023-05-22,27.349999999999998,16.792499999999997,30.1,16.2,1.9799999999999998,12.553333333333335
2023-05-23,31.03,18.9975,34.2,18.4,1.0666666666666667,17.601333333333333
2023-05-24,30.0675,19.585,29.2,18.3,10.054333333333334,21.213333333333335
2023-05-25,29.1675,19.3975,30.3,18.4,0.5866666666666667,18.89466666666667
2023-05-26,29.502499999999998,18.6925,29.7,17.2,0.0,15.601333333333335
2023-05-27,29.8525,18.549999999999997,30.1,17.9,0.0003333333333333333,14.044000000000002
2023-05-28,29.285,20.5075,29.6,20.0,0.8666666666666667,20.428
2023-05-29,29.0075,19.54,30.5,20.0,1.0016666666666667,19.394666666666666
2023-05-30,30.3675,18.605,32.5,17.9,0.09999999999999999,17.068
2023-05-31,31.205,19.5525,32.5,19.4,0.0,17.789333333333335
2023-06-01,31.0775,19.945,33.9,19.4,0.09999999999999999,20.301333333333332
2023-06-02,32.067499999999995,19.7875,32.2,18.4,0.0,22.004
2023-06-03,32.385000000000005,20.275,33.8,18.9,4.639333333333333,27.80666666666667
2023-06-04,30.775000000000002,20.04,28.8,18.4,14.646,23.596
2023-06-05,29.72,19.445,31.0,19.4,7.454666666666665,21.71066666666667
2023-06-06,30.6775,18.8475,31.1,17.9,0.923,12.030666666666667
