name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
10023,2023-04-17,19.4,12.2,14.7,19.4,12.2,14.7,8.2,71,0.005,100,8.33,rain,0,0,44.4,24.7,280.7,1003.1,87.3,10.4,123,10.7,8,10,2023-04-17T06:14:21,2023-04-17T19:37:26,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10023,2023-04-18,13.9,8.3,11.2,13.9,5.9,10.7,-1.2,42.4,0,0,0,,0,0,50,25.9,266,1007.6,45.5,16,125.8,11,5,10,2023-04-18T06:12:51,2023-04-18T19:38:29,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,F8726,KNYC,F1417,72503014732"
10023,2023-04-19,17.9,7.8,11.3,17.9,5.8,10.5,-1.4,42.4,0,0,0,,0,0,37.1,20.5,284.7,1016.7,44.2,16,241.5,21,9,10,2023-04-19T06:11:22,2023-04-19T19:39:32,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,F8726,KNYC,F1417,72503014732"
10023,2023-04-20,18.3,7.2,12.2,18.3,5.4,11.7,1.1,48.1,0,0,0,,0,0,18.4,14,54.6,1022,13.7,16,247.6,21.3,9,10,2023-04-20T06:09:54,2023-04-20T19:40:36,0,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,F8726,KNYC,F1417,72503014732"
10023,2023-04-21,21.1,10.6,15.3,21.1,10.6,15.3,6.9,58.8,0,0,0,,0,0,40.7,22.7,91.5,1018.3,21.8,15.8,270,23.5,9,10,2023-04-21T06:08:26,2023-04-21T19:41:39,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,F8726,KNYC,F1417,72503014732"
10023,2023-04-22,18.4,10.6,13.8,18.4,10.6,13.8,10.6,81.4,11.948,100,12.5,rain,0,0,42.5,20.6,65.9,1013.9,87.7,10.8,220.5,19.1,8,10,2023-04-22T06:06:59,2023-04-22T19:42:42,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72502594741,72505394728,KTEB,KLGA,F8726,KNYC,F1417,72503014732"
10023,2023-04-23,19.9,12.2,14.7,19.9,12.2,14.7,9.3,73.8,37.642,100,50,rain,0,0,35.3,16.7,352.7,1010.8,87.3,11.2,179.4,15.5,10,10,2023-04-23T06:05:33,2023-04-23T19:43:45,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10023,2023-04-24,15.7,7.2,11.5,15.7,5.1,11.1,-0.4,46.4,0,0,0,,0,0,27.7,17.9,302.5,1016.8,34.9,16,248.2,21.6,10,10,2023-04-24T06:04:08,2023-04-24T19:44:48,0.14,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10023,2023-04-25,15,7.9,11.6,15,7.7,11.5,-0.8,43.7,0,0,0,,0,0,11.2,10,335.7,1020.7,54.9,16,179.5,15.4,8,10,2023-04-25T06:02:44,2023-04-25T19:45:51,0.18,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10023,2023-04-26,14.3,7.8,11.3,14.3,7.4,11.2,2.6,56.2,0.002,100,8.33,rain,0,0,30.2,19.1,106.5,1023,56.3,16,206.3,17.8,8,10,2023-04-26T06:01:21,2023-04-26T19:46:54,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10023,2023-04-27,13.4,10.6,11.7,13.4,10.6,11.7,6.9,72.8,0,0,0,,0,0,27.7,14.8,108.7,1022.6,75.4,15.6,80.4,7.1,4,10,2023-04-27T05:59:59,2023-04-27T19:47:57,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,F8726,KNYC,F1417,72503014732"
10023,2023-04-28,12.8,8.4,10.8,12.8,5.9,10.2,5.2,70.5,4.388,100,16.67,rain,0,0,38.9,14.9,78.2,1020.9,58.6,13.8,77.1,6.5,3,10,2023-04-28T05:58:39,2023-04-28T19:48:59,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
