date,openMeteo_max_apparent_temp,virtualCrossing_max_apparent_temp
2023-12-03,18.558727,23.3
2023-12-04,16.53884,20.0
2023-12-05,21.397827,22.2
2023-12-06,17.998589,20.6
2023-12-07,21.182049,22.2
2023-12-08,23.55812,23.3
2023-12-09,24.781908,24.3
2023-12-10,9.505186,15.0
2023-12-11,13.602856,18.3
2023-12-12,17.892126,20.0
2023-12-13,13.199131,13.8
2023-12-14,19.532917,20.6
2023-12-15,17.891754,18.3
2023-12-16,14.069237,18.3
2023-12-17,17.70453,21.7
2023-12-18,16.55947,20.0
2023-12-19,16.484743,20.0
2023-12-20,20.565596,22.2
2023-12-21,18.60088,17.8
2023-12-22,22.79699,21.7
2023-12-23,23.548351,21.7
2023-12-24,22.07866,23.3
2023-12-25,12.230585,13.8
2023-12-26,11.102325,15.0
2023-12-27,13.418566,17.8
2023-12-28,12.394672,16.1
2023-12-29,11.374026,16.1
2023-12-30,16.609915,20.6
2023-12-31,19.568771,22.2
2024-01-01,12.228348,14.3
2024-01-02,9.25753,11.7
2024-01-03,8.635365,10.6
2024-01-04,12.424389,14.3
2024-01-05,14.373163,18.8
2024-01-06,15.073706,17.2
2024-01-07,13.926054,18.3
2024-01-08,21.110512,22.8
2024-01-09,7.658267,13.8
2024-01-10,15.309645,19.3
2024-01-11,20.583035,23.3
2024-01-12,18.6117,20.0
2024-01-13,13.832998,16.7
2024-01-14,5.725689,-2.3
2024-01-15,-10.172727,-10.4
2024-01-16,-5.052949,-3.3
2024-01-17,1.631742,4.6
2024-01-18,19.394577,25.0
2024-01-19,10.338667,8.4
2024-01-20,0.7292824,2.4
2024-01-21,1.0978456,3.2
2024-01-22,12.409346,14.3
2024-01-23,17.59483,15.6
2024-01-24,12.700026,13.3
2024-01-25,14.886753,15.7
2024-01-26,12.229504,13.4
2024-01-27,12.588995,17.2
2024-01-28,14.315014,18.8
2024-01-29,16.099747,21.7
2024-01-30,20.127817,22.9
2024-01-31,20.74318,22.9
2024-02-01,19.86099,21.7
2024-02-02,20.839317,19.4
2024-02-03,19.77853,22.2
2024-02-04,14.231058,19.3
2024-02-05,14.651617,17.9
2024-02-06,19.170858,20.7
2024-02-07,17.247545,20.6
2024-02-08,22.348083,22.2
2024-02-09,24.953886,23.4
2024-02-10,22.084974,18.9
2024-02-11,17.137564,15.6
2024-02-12,11.76141,15.7
2024-02-13,17.01542,19.4
2024-02-14,18.506893,20.0
2024-02-15,21.15198,20.6
2024-02-16,21.915302,22.9
2024-02-17,9.451677,11.2
2024-02-18,8.5611725,11.7
2024-02-19,15.911913,19.4
2024-02-20,24.979256,25.7
2024-02-21,23.883722,25.0
2024-02-22,29.908615,28.9
2024-02-23,20.196268,23.9
2024-02-24,23.553473,25.7
2024-02-25,27.257526,28.2
2024-02-26,28.291107,28.5
2024-02-27,27.210161,25.7
2024-02-28,23.333536,20.7
2024-02-29,7.7618933,8.8
2024-03-01,18.281113,19.4
2024-03-02,26.61909,26.9
2024-03-03,26.544569,26.7
2024-03-04,29.337261,29.2
2024-03-05,30.531242,30.3
2024-03-06,29.455002,28.5
2024-03-07,24.48788,23.4
2024-03-08,27.038992,27.5
2024-03-09,12.645941,16.7
2024-03-10,17.604464,18.9
2024-03-11,21.877855,22.8
2024-03-12,24.149466,24.4
2024-03-13,28.838554,30.0
2024-03-14,27.298666,26.1
2024-03-15,26.946854,23.3
2024-03-16,26.17147,23.4
2024-03-17,21.490147,19.3
2024-03-18,15.204964,
2024-03-19,18.234512,
2024-03-20,17.721638,
2024-03-21,19.27937,
2024-03-22,27.269028,
2024-03-23,24.194405,
2024-03-24,20.247286,
