date,mean_sunset
2023-09-07,2023-09-07T19:46:20
2023-09-08,2023-09-08T19:45:07
2023-09-09,2023-09-09T19:43:53
2023-09-10,2023-09-10T19:42:38
2023-09-11,2023-09-11T19:41:24
2023-09-12,2023-09-12T19:40:09
2023-09-13,2023-09-13T19:38:54
2023-09-14,2023-09-14T19:37:39
2023-09-15,2023-09-15T19:36:24
2023-09-16,2023-09-16T19:35:08
2023-09-17,2023-09-17T19:33:53
2023-09-18,2023-09-18T19:32:37
2023-09-19,2023-09-19T19:31:22
2023-09-20,2023-09-20T19:30:06
2023-09-21,2023-09-21T19:28:51
2023-09-22,2023-09-22T19:27:35
2023-09-23,2023-09-23T19:26:20
2023-09-24,2023-09-24T19:25:05
2023-09-25,2023-09-25T19:23:49
2023-09-26,2023-09-26T19:22:34
2023-09-27,2023-09-27T19:21:20
2023-09-28,2023-09-28T19:20:05
2023-09-29,2023-09-29T19:18:51
2023-09-30,2023-09-30T19:17:37
2023-10-01,2023-10-01T19:16:23
2023-10-02,2023-10-02T19:15:10
2023-10-03,2023-10-03T19:13:57
2023-10-04,2023-10-04T19:12:44
2023-10-05,2023-10-05T19:11:32
2023-10-06,2023-10-06T19:10:20
2023-10-07,2023-10-07T19:09:09
2023-10-08,2023-10-08T19:07:58
2023-10-09,2023-10-09T19:06:48
2023-10-10,2023-10-10T19:05:38
2023-10-11,2023-10-11T19:04:29
2023-10-12,2023-10-12T19:03:21
2023-10-13,2023-10-13T19:02:13
2023-10-14,2023-10-14T19:01:06
2023-10-15,2023-10-15T19:00:00
2023-10-16,2023-10-16T18:58:54
2023-10-17,2023-10-17T18:57:49
2023-10-18,2023-10-18T18:56:45
2023-10-19,2023-10-19T18:55:42
2023-10-20,2023-10-20T18:54:40
2023-10-21,2023-10-21T18:53:38
2023-10-22,2023-10-22T18:52:38
2023-10-23,2023-10-23T18:51:38
2023-10-24,2023-10-24T18:50:40
2023-10-25,2023-10-25T18:49:42
2023-10-26,2023-10-26T18:48:46
2023-10-27,2023-10-27T18:47:50
2023-10-28,2023-10-28T18:46:56
2023-10-29,2023-10-29T18:46:03
2023-10-30,2023-10-30T18:45:11
2023-10-31,2023-10-31T18:44:20
2023-11-01,2023-11-01T18:43:31
2023-11-02,2023-11-02T18:42:42
2023-11-03,2023-11-03T18:41:55
2023-11-04,2023-11-04T18:41:09
2023-11-05,2023-11-05T17:40:25
2023-11-06,2023-11-06T17:39:42
2023-11-07,2023-11-07T17:39:00
2023-11-08,2023-11-08T17:38:20
2023-11-09,2023-11-09T17:37:41
2023-11-10,2023-11-10T17:37:04
2023-11-11,2023-11-11T17:36:28
2023-11-12,2023-11-12T17:35:53
2023-11-13,2023-11-13T17:35:20
2023-11-14,2023-11-14T17:34:49
2023-11-15,2023-11-15T17:34:19
2023-11-16,2023-11-16T17:33:51
2023-11-17,2023-11-17T17:33:24
2023-11-18,2023-11-18T17:32:59
2023-11-19,2023-11-19T17:32:35
2023-11-20,2023-11-20T17:32:13
2023-11-21,2023-11-21T17:31:53
2023-11-22,2023-11-22T17:31:35
2023-11-23,2023-11-23T17:31:18
2023-11-24,2023-11-24T17:31:03
2023-11-25,2023-11-25T17:30:49
2023-11-26,2023-11-26T17:30:37
2023-11-27,2023-11-27T17:30:27
2023-11-28,2023-11-28T17:30:19
2023-11-29,2023-11-29T17:30:12
2023-11-30,2023-11-30T17:30:07
2023-12-01,2023-12-01T17:30:04
2023-12-02,2023-12-02T17:30:03
2023-12-03,2023-12-03T17:30:03
2023-12-04,2023-12-04T17:30:05
2023-12-05,2023-12-05T17:30:09
2023-12-06,2023-12-06T17:30:14
2023-12-07,2023-12-07T17:30:21
2023-12-08,2023-12-08T17:30:30
2023-12-09,2023-12-09T17:30:40
2023-12-10,2023-12-10T17:30:52
2023-12-11,2023-12-11T17:31:06
2023-12-12,2023-12-12T17:31:21
2023-12-13,2023-12-13T17:31:38
2023-12-14,2023-12-14T17:31:56
2023-12-15,2023-12-15T17:32:16
2023-12-16,2023-12-16T17:32:38
2023-12-17,2023-12-17T17:33:01
2023-12-18,2023-12-18T17:33:25
2023-12-19,2023-12-19T17:33:51
2023-12-20,2023-12-20T17:34:19
2023-12-21,2023-12-21T17:34:48
2023-12-22,2023-12-22T17:35:18
2023-12-23,2023-12-23T17:35:50
2023-12-24,2023-12-24T17:36:22
2023-12-25,2023-12-25T17:36:56
2023-12-26,2023-12-26T17:37:32
2023-12-27,2023-12-27T17:38:08
2023-12-28,2023-12-28T17:38:46
2023-12-29,2023-12-29T17:39:25
2023-12-30,2023-12-30T17:40:05
2023-12-31,2023-12-31T17:40:46
2024-01-01,2024-01-01T17:41:27
2024-01-02,2024-01-02T17:42:10
2024-01-03,2024-01-03T17:42:54
2024-01-04,2024-01-04T17:43:39
2024-01-05,2024-01-05T17:44:24
2024-01-06,2024-01-06T17:45:10
2024-01-07,2024-01-07T17:45:57
2024-01-08,2024-01-08T17:46:45
2024-01-09,2024-01-09T17:47:33
2024-01-10,2024-01-10T17:48:22
2024-01-11,2024-01-11T17:49:11
2024-01-12,2024-01-12T17:50:01
2024-01-13,2024-01-13T17:50:51
2024-01-14,2024-01-14T17:51:42
2024-01-15,2024-01-15T17:52:33
2024-01-16,2024-01-16T17:53:25
2024-01-17,2024-01-17T17:54:17
2024-01-18,2024-01-18T17:55:09
2024-01-19,2024-01-19T17:56:01
2024-01-20,2024-01-20T17:56:53
2024-01-21,2024-01-21T17:57:46
2024-01-22,2024-01-22T17:58:39
2024-01-23,2024-01-23T17:59:31
2024-01-24,2024-01-24T18:00:24
2024-01-25,2024-01-25T18:01:17
2024-01-26,2024-01-26T18:02:10
2024-01-27,2024-01-27T18:03:03
2024-01-28,2024-01-28T18:03:55
2024-01-29,2024-01-29T18:04:48
2024-01-30,2024-01-30T18:05:40
2024-01-31,2024-01-31T18:06:33
2024-02-01,2024-02-01T18:07:25
2024-02-02,2024-02-02T18:08:17
2024-02-03,2024-02-03T18:09:08
2024-02-04,2024-02-04T18:10:00
2024-02-05,2024-02-05T18:10:51
2024-02-06,2024-02-06T18:11:42
2024-02-07,2024-02-07T18:12:32
2024-02-08,2024-02-08T18:13:22
2024-02-09,2024-02-09T18:14:12
2024-02-10,2024-02-10T18:15:02
2024-02-11,2024-02-11T18:15:51
2024-02-12,2024-02-12T18:16:40
2024-02-13,2024-02-13T18:17:28
2024-02-14,2024-02-14T18:18:16
2024-02-15,2024-02-15T18:19:04
2024-02-16,2024-02-16T18:19:51
2024-02-17,2024-02-17T18:20:38
2024-02-18,2024-02-18T18:21:25
2024-02-19,2024-02-19T18:22:11
2024-02-20,2024-02-20T18:22:57
2024-02-21,2024-02-21T18:23:42
2024-02-22,2024-02-22T18:24:27
2024-02-23,2024-02-23T18:25:12
2024-02-24,2024-02-24T18:25:56
2024-02-25,2024-02-25T18:26:40
2024-02-26,2024-02-26T18:27:23
2024-02-27,2024-02-27T18:28:06
2024-02-28,2024-02-28T18:28:49
2024-02-29,2024-02-29T18:29:32
2024-03-01,2024-03-01T18:30:14
2024-03-02,2024-03-02T18:30:55
2024-03-03,2024-03-03T18:31:37
2024-03-04,2024-03-04T18:32:18
2024-03-05,2024-03-05T18:32:58
2024-03-06,2024-03-06T18:33:39
2024-03-07,2024-03-07T18:34:19
2024-03-08,2024-03-08T18:34:59
2024-03-09,2024-03-09T18:35:38
2024-03-10,2024-03-10T19:36:18
2024-03-11,2024-03-11T19:36:57
2024-03-12,2024-03-12T19:37:35
2024-03-13,2024-03-13T19:38:14
2024-03-14,2024-03-14T19:38:52
2024-03-15,2024-03-15T19:39:31
2024-03-16,2024-03-16T19:40:09
2024-03-17,2024-03-17T19:40:46
