date,openMeteo_max_apparent_temp,virtualCrossing_max_apparent_temp
2023-12-03,33.32522,33.8
2023-12-04,32.1973,30.4
2023-12-05,29.910217,28.3
2023-12-06,19.822659,21.5
2023-12-07,22.28387,23.8
2023-12-08,26.048573,25.6
2023-12-09,27.89748,28.1
2023-12-10,29.949558,29.8
2023-12-11,27.567715,22.2
2023-12-12,24.21853,24.4
2023-12-13,25.30651,23.8
2023-12-14,23.501404,22.8
2023-12-15,21.279308,23.4
2023-12-16,25.185411,24.2
2023-12-17,26.468525,25.8
2023-12-18,20.3499,23.1
2023-12-19,20.631248,22.9
2023-12-20,19.96343,21.6
2023-12-21,21.696774,24.6
2023-12-22,23.88741,23.7
2023-12-23,25.125492,24.6
2023-12-24,24.822414,25.2
2023-12-25,26.3989,24.4
2023-12-26,29.939453,29.8
2023-12-27,25.80619,24.3
2023-12-28,21.874537,19.6
2023-12-29,19.871416,21.1
2023-12-30,17.508688,18.2
2023-12-31,20.056322,21.2
2024-01-01,22.730154,22.4
2024-01-02,20.195549,21.8
2024-01-03,21.483664,22.8
2024-01-04,26.258461,25.6
2024-01-05,24.708088,25.2
2024-01-06,28.137932,26.5
2024-01-07,26.970964,22.8
2024-01-08,23.916458,23.7
2024-01-09,27.643349,26.3
2024-01-10,26.46541,24.6
2024-01-11,23.336857,21.5
2024-01-12,32.40425,32.6
2024-01-13,30.484085,32.2
2024-01-14,24.732927,23.4
2024-01-15,29.503025,29.0
2024-01-16,32.050972,32.3
2024-01-17,25.360785,23.8
2024-01-18,29.82336,28.6
2024-01-19,30.23896,24.0
2024-01-20,23.011372,23.0
2024-01-21,19.00336,21.1
2024-01-22,21.044224,23.3
2024-01-23,26.338943,25.9
2024-01-24,28.440903,28.8
2024-01-25,28.223442,26.2
2024-01-26,29.309937,28.5
2024-01-27,28.880665,29.6
2024-01-28,31.494312,30.4
2024-01-29,15.946962,19.4
2024-01-30,21.611032,21.9
2024-01-31,20.173418,22.3
2024-02-01,22.724968,22.5
2024-02-02,25.773037,24.0
2024-02-03,25.1464,25.2
2024-02-04,23.065992,23.4
2024-02-05,20.20583,19.6
2024-02-06,17.155111,21.3
2024-02-07,24.0522,24.6
2024-02-08,23.925425,24.3
2024-02-09,24.61802,24.4
2024-02-10,26.256268,25.8
2024-02-11,27.473019,26.4
2024-02-12,29.627357,29.9
2024-02-13,28.283714,27.2
2024-02-14,27.53715,26.1
2024-02-15,26.055523,25.2
2024-02-16,28.165813,25.4
2024-02-17,30.039028,30.4
2024-02-18,28.390984,24.2
2024-02-19,19.84129,20.9
2024-02-20,20.041784,21.3
2024-02-21,20.632343,22.9
2024-02-22,23.669855,23.2
2024-02-23,24.44293,26.3
2024-02-24,23.490053,24.2
2024-02-25,24.026493,24.3
2024-02-26,24.21482,24.5
2024-02-27,26.00836,25.2
2024-02-28,28.454067,26.3
2024-02-29,29.874054,27.7
2024-03-01,27.933067,26.3
2024-03-02,30.333736,26.5
2024-03-03,31.294945,29.4
2024-03-04,33.505646,30.2
2024-03-05,31.794506,30.1
2024-03-06,30.679276,28.5
2024-03-07,33.699387,32.1
2024-03-08,33.18477,31.8
2024-03-09,34.31739,33.0
2024-03-10,32.363243,33.3
2024-03-11,28.602306,26.3
2024-03-12,28.40384,26.3
2024-03-13,30.978775,28.5
2024-03-14,31.794487,29.2
2024-03-15,31.295418,29.4
2024-03-16,33.75613,33.0
2024-03-17,33.785187,32.7
2024-03-18,34.66687,
2024-03-19,28.430092,
2024-03-20,25.643753,
2024-03-21,28.196388,
2024-03-22,25.872227,
2024-03-23,28.70137,
2024-03-24,28.137833,
