date,mean_sunset
2023-09-07,2023-09-07T19:18:51
2023-09-08,2023-09-08T19:17:12
2023-09-09,2023-09-09T19:15:32
2023-09-10,2023-09-10T19:13:52
2023-09-11,2023-09-11T19:12:11
2023-09-12,2023-09-12T19:10:30
2023-09-13,2023-09-13T19:08:49
2023-09-14,2023-09-14T19:07:08
2023-09-15,2023-09-15T19:05:27
2023-09-16,2023-09-16T19:03:45
2023-09-17,2023-09-17T19:02:03
2023-09-18,2023-09-18T19:00:22
2023-09-19,2023-09-19T18:58:40
2023-09-20,2023-09-20T18:56:58
2023-09-21,2023-09-21T18:55:17
2023-09-22,2023-09-22T18:53:35
2023-09-23,2023-09-23T18:51:53
2023-09-24,2023-09-24T18:50:12
2023-09-25,2023-09-25T18:48:30
2023-09-26,2023-09-26T18:46:49
2023-09-27,2023-09-27T18:45:08
2023-09-28,2023-09-28T18:43:27
2023-09-29,2023-09-29T18:41:47
2023-09-30,2023-09-30T18:40:07
2023-10-01,2023-10-01T18:38:27
2023-10-02,2023-10-02T18:36:47
2023-10-03,2023-10-03T18:35:08
2023-10-04,2023-10-04T18:33:29
2023-10-05,2023-10-05T18:31:51
2023-10-06,2023-10-06T18:30:13
2023-10-07,2023-10-07T18:28:35
2023-10-08,2023-10-08T18:26:58
2023-10-09,2023-10-09T18:25:22
2023-10-10,2023-10-10T18:23:46
2023-10-11,2023-10-11T18:22:11
2023-10-12,2023-10-12T18:20:37
2023-10-13,2023-10-13T18:19:03
2023-10-14,2023-10-14T18:17:30
2023-10-15,2023-10-15T18:15:58
2023-10-16,2023-10-16T18:14:27
2023-10-17,2023-10-17T18:12:56
2023-10-18,2023-10-18T18:11:26
2023-10-19,2023-10-19T18:09:58
2023-10-20,2023-10-20T18:08:30
2023-10-21,2023-10-21T18:07:03
2023-10-22,2023-10-22T18:05:37
2023-10-23,2023-10-23T18:04:12
2023-10-24,2023-10-24T18:02:49
2023-10-25,2023-10-25T18:01:26
2023-10-26,2023-10-26T18:00:04
2023-10-27,2023-10-27T17:58:44
2023-10-28,2023-10-28T17:57:25
2023-10-29,2023-10-29T17:56:07
2023-10-30,2023-10-30T17:54:51
2023-10-31,2023-10-31T17:53:36
2023-11-01,2023-11-01T17:52:22
2023-11-02,2023-11-02T17:51:10
2023-11-03,2023-11-03T17:49:59
2023-11-04,2023-11-04T17:48:50
2023-11-05,2023-11-05T16:47:42
2023-11-06,2023-11-06T16:46:36
2023-11-07,2023-11-07T16:45:31
2023-11-08,2023-11-08T16:44:28
2023-11-09,2023-11-09T16:43:26
2023-11-10,2023-11-10T16:42:27
2023-11-11,2023-11-11T16:41:29
2023-11-12,2023-11-12T16:40:33
2023-11-13,2023-11-13T16:39:38
2023-11-14,2023-11-14T16:38:46
2023-11-15,2023-11-15T16:37:55
2023-11-16,2023-11-16T16:37:06
2023-11-17,2023-11-17T16:36:19
2023-11-18,2023-11-18T16:35:35
2023-11-19,2023-11-19T16:34:52
2023-11-20,2023-11-20T16:34:11
2023-11-21,2023-11-21T16:33:32
2023-11-22,2023-11-22T16:32:55
2023-11-23,2023-11-23T16:32:21
2023-11-24,2023-11-24T16:31:48
2023-11-25,2023-11-25T16:31:18
2023-11-26,2023-11-26T16:30:50
2023-11-27,2023-11-27T16:30:24
2023-11-28,2023-11-28T16:30:00
2023-11-29,2023-11-29T16:29:38
2023-11-30,2023-11-30T16:29:19
2023-12-01,2023-12-01T16:29:02
2023-12-02,2023-12-02T16:28:47
2023-12-03,2023-12-03T16:28:35
2023-12-04,2023-12-04T16:28:24
2023-12-05,2023-12-05T16:28:17
2023-12-06,2023-12-06T16:28:11
2023-12-07,2023-12-07T16:28:08
2023-12-08,2023-12-08T16:28:07
2023-12-09,2023-12-09T16:28:08
2023-12-10,2023-12-10T16:28:12
2023-12-11,2023-12-11T16:28:18
2023-12-12,2023-12-12T16:28:26
2023-12-13,2023-12-13T16:28:36
2023-12-14,2023-12-14T16:28:49
2023-12-15,2023-12-15T16:29:04
2023-12-16,2023-12-16T16:29:22
2023-12-17,2023-12-17T16:29:41
2023-12-18,2023-12-18T16:30:03
2023-12-19,2023-12-19T16:30:27
2023-12-20,2023-12-20T16:30:53
2023-12-21,2023-12-21T16:31:21
2023-12-22,2023-12-22T16:31:51
2023-12-23,2023-12-23T16:32:24
2023-12-24,2023-12-24T16:32:58
2023-12-25,2023-12-25T16:33:34
2023-12-26,2023-12-26T16:34:13
2023-12-27,2023-12-27T16:34:53
