date,mean_sunset
2023-09-07,2023-09-07T19:14:46
2023-09-08,2023-09-08T19:13:03
2023-09-09,2023-09-09T19:11:21
2023-09-10,2023-09-10T19:09:37
2023-09-11,2023-09-11T19:07:54
2023-09-12,2023-09-12T19:06:10
2023-09-13,2023-09-13T19:04:26
2023-09-14,2023-09-14T19:02:42
2023-09-15,2023-09-15T19:00:58
2023-09-16,2023-09-16T18:59:13
2023-09-17,2023-09-17T18:57:29
2023-09-18,2023-09-18T18:55:44
2023-09-19,2023-09-19T18:54:00
2023-09-20,2023-09-20T18:52:15
2023-09-21,2023-09-21T18:50:30
2023-09-22,2023-09-22T18:48:46
2023-09-23,2023-09-23T18:47:01
2023-09-24,2023-09-24T18:45:17
2023-09-25,2023-09-25T18:43:33
2023-09-26,2023-09-26T18:41:49
2023-09-27,2023-09-27T18:40:05
2023-09-28,2023-09-28T18:38:21
2023-09-29,2023-09-29T18:36:37
2023-09-30,2023-09-30T18:34:54
2023-10-01,2023-10-01T18:33:11
2023-10-02,2023-10-02T18:31:29
2023-10-03,2023-10-03T18:29:47
2023-10-04,2023-10-04T18:28:05
2023-10-05,2023-10-05T18:26:24
2023-10-06,2023-10-06T18:24:43
2023-10-07,2023-10-07T18:23:03
2023-10-08,2023-10-08T18:21:23
2023-10-09,2023-10-09T18:19:44
2023-10-10,2023-10-10T18:18:05
2023-10-11,2023-10-11T18:16:27
2023-10-12,2023-10-12T18:14:50
2023-10-13,2023-10-13T18:13:13
2023-10-14,2023-10-14T18:11:37
2023-10-15,2023-10-15T18:10:02
2023-10-16,2023-10-16T18:08:28
2023-10-17,2023-10-17T18:06:55
2023-10-18,2023-10-18T18:05:22
2023-10-19,2023-10-19T18:03:51
2023-10-20,2023-10-20T18:02:20
2023-10-21,2023-10-21T18:00:50
2023-10-22,2023-10-22T17:59:22
2023-10-23,2023-10-23T17:57:54
2023-10-24,2023-10-24T17:56:27
2023-10-25,2023-10-25T17:55:02
2023-10-26,2023-10-26T17:53:38
2023-10-27,2023-10-27T17:52:15
2023-10-28,2023-10-28T17:50:53
2023-10-29,2023-10-29T17:49:33
2023-10-30,2023-10-30T17:48:14
2023-10-31,2023-10-31T17:46:56
2023-11-01,2023-11-01T17:45:39
2023-11-02,2023-11-02T17:44:24
2023-11-03,2023-11-03T17:43:11
2023-11-04,2023-11-04T17:41:59
2023-11-05,2023-11-05T16:40:48
2023-11-06,2023-11-06T16:39:40
