date,openMeteo_min_apparent_temp,virtualCrossing_min_apparent_temp
2023-12-03,28.214954,24.0
2023-12-04,26.126856,21.6
2023-12-05,19.31756,20.7
2023-12-06,12.11133,15.3
2023-12-07,10.855835,13.9
2023-12-08,19.24322,18.8
2023-12-09,23.004286,23.6
2023-12-10,24.072973,22.4
2023-12-11,15.017836,15.9
2023-12-12,12.91457,14.7
2023-12-13,21.596115,22.4
2023-12-14,20.100773,21.2
2023-12-15,18.911125,20.9
2023-12-16,21.013824,21.7
2023-12-17,17.737017,18.7
2023-12-18,15.959616,15.5
2023-12-19,9.518097,12.6
2023-12-20,12.682461,13.9
2023-12-21,15.889687,20.7
2023-12-22,17.577444,18.5
2023-12-23,20.031425,19.0
2023-12-24,20.266014,20.4
2023-12-25,21.983137,22.7
2023-12-26,24.08758,21.3
2023-12-27,19.867395,18.0
2023-12-28,14.663567,16.1
2023-12-29,16.073555,16.0
2023-12-30,14.382042,13.9
2023-12-31,12.027391,12.4
2024-01-01,11.283234,11.8
2024-01-02,12.586252,13.6
2024-01-03,10.578616,13.1
2024-01-04,17.353436,15.6
2024-01-05,16.51358,16.8
2024-01-06,22.846504,22.0
2024-01-07,15.701595,16.5
2024-01-08,14.677185,16.5
2024-01-09,22.328957,22.5
2024-01-10,18.416046,17.9
2024-01-11,18.718952,17.5
2024-01-12,23.890547,21.7
2024-01-13,20.046085,20.4
2024-01-14,19.408638,18.3
2024-01-15,21.949284,21.7
2024-01-16,25.784067,22.3
2024-01-17,19.210316,18.3
2024-01-18,22.107664,20.2
2024-01-19,22.702675,20.9
2024-01-20,10.5373335,14.1
2024-01-21,6.4590216,10.9
2024-01-22,13.529915,18.3
2024-01-23,18.06253,21.2
2024-01-24,22.413895,23.0
2024-01-25,23.563414,23.6
2024-01-26,23.592937,22.3
2024-01-27,24.094791,23.1
2024-01-28,15.327337,17.8
2024-01-29,9.369853,13.5
2024-01-30,8.307643,11.9
2024-01-31,9.200813,12.9
2024-02-01,9.781701,13.1
2024-02-02,14.520342,16.5
2024-02-03,14.826885,13.6
2024-02-04,18.51632,17.5
2024-02-05,14.549608,15.5
2024-02-06,10.295372,13.7
2024-02-07,8.637428,13.2
2024-02-08,14.139099,15.0
2024-02-09,17.298716,19.9
2024-02-10,20.291283,20.7
2024-02-11,21.315395,22.1
2024-02-12,23.282322,22.3
2024-02-13,20.731525,18.5
2024-02-14,13.168386,14.1
2024-02-15,18.147667,18.3
2024-02-16,19.774403,18.5
2024-02-17,21.02141,18.9
2024-02-18,19.92816,18.4
2024-02-19,13.61916,14.6
2024-02-20,10.092216,11.8
2024-02-21,9.9880495,12.4
2024-02-22,10.866606,12.9
2024-02-23,14.980928,13.4
2024-02-24,14.101938,16.7
2024-02-25,9.579199,11.9
2024-02-26,13.784328,13.8
2024-02-27,14.821007,14.8
2024-02-28,20.740454,20.0
2024-02-29,21.907621,19.1
2024-03-01,22.288975,22.1
2024-03-02,23.331722,22.3
2024-03-03,24.523167,21.5
2024-03-04,23.32228,20.5
2024-03-05,24.481434,22.3
2024-03-06,23.492073,21.0
2024-03-07,24.94772,21.1
2024-03-08,25.893354,21.7
2024-03-09,27.355335,24.4
2024-03-10,27.7153,24.2
2024-03-11,17.569805,18.2
2024-03-12,19.721397,19.2
2024-03-13,21.441269,19.0
2024-03-14,23.24245,20.9
2024-03-15,23.159437,22.3
2024-03-16,24.388296,21.7
2024-03-17,26.64864,22.9
2024-03-18,27.379934,
2024-03-19,19.545689,
2024-03-20,17.504015,
2024-03-21,20.478603,
2024-03-22,20.675674,
2024-03-23,20.411116,
2024-03-24,16.945326,
