date,openMeteo_min_apparent_temp,virtualCrossing_min_apparent_temp
2023-11-29,-9.397077,-8.1
2023-11-30,-7.2682533,-2.2
2023-12-01,-1.1667864,4.1
2023-12-02,5.4903803,6.2
2023-12-03,4.951248,6.8
2023-12-04,1.4814634,3.5
2023-12-05,-1.3855867,0.9
2023-12-06,-5.11483,-2.5
2023-12-07,-6.1940684,-3.0
2023-12-08,-2.9910111,1.4
2023-12-09,0.100939274,5.2
2023-12-10,5.373498,9.6
2023-12-11,-3.3498163,0.1
2023-12-12,-4.1145673,-0.9
2023-12-13,-3.1630144,-0.5
2023-12-14,-5.3480835,-3.6
2023-12-15,-4.5392957,-0.2
2023-12-16,1.4863033,6.3
2023-12-17,4.774252,6.2
2023-12-18,0.18124485,3.8
2023-12-19,-5.615614,-2.8
2023-12-20,-7.0359573,-5.8
2023-12-21,-6.4002285,-5.3
2023-12-22,-7.975852,-7.5
2023-12-23,-4.471072,-0.6
2023-12-24,0.25587654,3.9
2023-12-25,3.30399,4.6
2023-12-26,4.1361923,5.4
2023-12-27,3.6958141,5.4
2023-12-28,4.532878,6.8
2023-12-29,4.57358,6.8
2023-12-30,-1.0019438,0.7
2023-12-31,-1.2389784,0.7
2024-01-01,-1.1782367,-0.2
2024-01-02,-6.341886,-5.6
2024-01-03,-5.532194,-1.8
2024-01-04,-8.302263,-7.1
2024-01-05,-9.705204,-10.0
2024-01-06,-6.343463,-3.9
2024-01-07,-4.20802,-3.0
2024-01-08,-4.48359,-1.4
2024-01-09,-5.0750957,1.9
2024-01-10,-0.112962246,4.0
2024-01-11,-0.35862732,2.1
2024-01-12,-2.6908622,2.0
2024-01-13,-5.319994,-1.9
2024-01-14,-8.474047,-7.0
2024-01-15,-9.97398,-9.3
2024-01-16,-11.071632,-10.2
2024-01-17,-14.450983,-16.1
2024-01-18,-12.574636,-13.0
2024-01-19,-10.067244,-7.6
2024-01-20,-15.0014,-14.5
2024-01-21,-13.839216,-13.7
2024-01-22,-11.341843,-9.1
2024-01-23,-5.8416634,-2.8
2024-01-24,-1.8447123,0.8
2024-01-25,3.6299448,7.7
2024-01-26,1.1915655,2.8
2024-01-27,2.5144873,4.2
2024-01-28,-2.6898003,-2.1
2024-01-29,-3.7052407,-1.7
2024-01-30,-3.5232153,-2.3
2024-01-31,-3.0125532,-2.2
2024-02-01,-2.5486677,0.2
2024-02-02,-1.9029989,0.1
2024-02-03,-5.082163,-4.4
2024-02-04,-6.253775,-4.4
2024-02-05,-5.4602885,-2.7
2024-02-06,-8.809347,-6.1
